dataset,model,n_seeds,top1_mean,top1_std,top5_mean,top5_std,top10_mean,top10_std,cosine_mean,cosine_std,rank_mean
alfworld_nl_no_goto,Qwen3-Embedding-0.6B,3,0.18890633176347463,0.005046389723177895,0.7022501308215594,0.007250866803009412,0.8822605965463108,0.006842855484365246,0.5672093033790588,0.007913882168921341,5.262166405023548
alfworld_nl_no_goto,Qwen3-Embedding-8B,3,0.19204604918890633,0.012689016905266498,0.6902145473574045,0.008646107609554313,0.8738880167451596,0.005046389723177863,0.5591487487157186,0.004927609189430253,5.294086865515437
alfworld_nl_no_goto,all-MiniLM-L6-v2,3,0.20041862899005758,0.021197937310862475,0.6917844060701204,0.01068580735565785,0.8749345892203035,0.017292215219108627,0.6605964700380961,0.0039279197028163244,5.26007326007326
alfworld_nl_no_goto,bge-large-en-v1.5,3,0.21245421245421245,0.0023979987938021145,0.7006802721088435,0.009969941854137966,0.8780743066457353,0.00892659451032547,0.5238077640533447,0.013027298852007136,5.204604918890634
alfworld_nl_no_goto,e5-large-v2,3,0.20198848770277342,0.012193804497887007,0.6949241234955521,0.005943389163579603,0.8686551543694401,0.0070788850122808274,0.3745207091172536,0.001592872552626358,5.41287284144427
alfworld_nl_no_goto,jina-embeddings-v3,3,0.1946624803767661,0.00941915227629514,0.7012035583464155,0.00892659451032547,0.8754578754578755,0.0074188628355613805,0.548638919989268,0.0037211457487847615,5.28414442700157
openpi_c_nl,Qwen3-Embedding-0.6B,3,0.7472906403940887,0.0035522672664669895,0.964696223316913,0.0027130889395497624,0.9908045977011495,0.002527882482486148,0.5295927325884501,0.0027193917639928553,1.6607553366174055
openpi_c_nl,Qwen3-Embedding-8B,3,0.6980295566502464,0.005807796119483544,0.9507389162561576,0.0009852216748768572,0.9852216748768473,0.0009852216748768572,0.4735578993956248,0.006228875250960588,1.9055829228243022
openpi_c_nl,all-MiniLM-L6-v2,3,0.6891625615763547,0.002606651537994676,0.948440065681445,0.002713088939549793,0.9801313628899836,0.0005688179992015754,0.6195362011591593,0.0025620857332988934,1.9848932676518884
openpi_c_nl,bge-large-en-v1.5,3,0.6972085385878489,0.004983248244825468,0.9433497536945813,0.004294481717774055,0.9794745484400657,0.0010254512312641106,0.48487065235773724,0.00097437640289834,2.0541871921182264
openpi_c_nl,e5-large-v2,3,0.6558292282430214,0.010974650122500446,0.9147783251231527,0.0034482758620689724,0.9610837438423645,0.0045148529014342855,0.3291400969028473,0.001428157843024019,2.579146141215107
openpi_c_nl,jina-embeddings-v3,3,0.6949096880131362,0.0011376359984032148,0.9517241379310345,0.004750566877336453,0.9844006568144499,0.00401208266760941,0.5419708887736002,0.004687755555017044,1.8970443349753694
propara_deepseek_nl,Qwen3-Embedding-0.6B,3,0.4147963424771405,0.025955935155438065,0.8121363258520365,0.008016334797167901,0.9276807980049875,0.00997506234413964,0.4268781741460164,0.008553322208407571,3.743142144638404
propara_deepseek_nl,bge-large-en-v1.5,3,0.3765586034912718,0.008638657394358496,0.7813798836242727,0.005191187031087627,0.9243557772236076,0.015237159417974539,0.3968715965747833,0.0038825763499213644,4.666666666666667
propara_deepseek_nl,e5-large-v2,3,0.3499584372402328,0.011245011852426165,0.7464671654197839,0.005759104929572288,0.8545303408146301,0.021787767950259624,0.254983127117157,0.003347866903182968,7.446384039900249
propara_nl,Qwen3-Embedding-0.6B,3,0.3491271820448878,0.03298941784369814,0.802161263507897,0.002879552464786176,0.9060681629260183,0.005191187031087627,0.41417716940244037,0.0031827612052728813,4.745635910224439
propara_nl,bge-large-en-v1.5,3,0.36658354114713215,0.017277314788716962,0.802161263507897,0.027582144676703297,0.914380714879468,0.0038092898544936134,0.38810141881306964,0.004277766416570788,4.417290108063176
propara_nl,e5-large-v2,3,0.3349958437240233,0.02076474812435045,0.772236076475478,0.0014397762323931202,0.8827930174563591,0.012957986091537697,0.26304809252421063,0.0017725852012302837,5.488778054862843
