model,attribute,n,cosine_mean,top1,top5,top10,mean_target_rank
bge-large-en-v1.5,temperature,124,0.5245919227600098,0.5806451612903226,0.9274193548387096,0.967741935483871,2.4274193548387095
bge-large-en-v1.5,cleanness,88,0.5107852220535278,0.6477272727272727,0.9772727272727273,1.0,1.75
bge-large-en-v1.5,volume,83,0.49032968282699585,0.6626506024096386,0.9879518072289156,1.0,1.5662650602409638
bge-large-en-v1.5,weight,68,0.5301034450531006,0.7352941176470589,0.9852941176470589,1.0,1.4852941176470589
bge-large-en-v1.5,moisture,65,0.513137698173523,0.8307692307692308,1.0,1.0,1.2461538461538462
bge-large-en-v1.5,composition,62,0.4772195518016815,0.7580645161290323,0.8870967741935484,0.9838709677419355,2.0483870967741935
bge-large-en-v1.5,position,56,0.44748350977897644,0.5714285714285714,0.9107142857142857,0.9821428571428571,2.482142857142857
bge-large-en-v1.5,wetness,47,0.5111023783683777,0.851063829787234,1.0,1.0,1.1702127659574468
bge-large-en-v1.5,fullness,40,0.49795156717300415,0.95,1.0,1.0,1.05
bge-large-en-v1.5,shape,38,0.44730305671691895,0.7894736842105263,1.0,1.0,1.263157894736842
bge-large-en-v1.5,texture,38,0.4834166467189789,0.7105263157894737,0.868421052631579,0.9473684210526315,2.263157894736842
bge-large-en-v1.5,container,28,0.48511046171188354,0.7142857142857143,0.9642857142857143,1.0,1.7142857142857142
bge-large-en-v1.5,knowledge,27,0.4754316210746765,1.0,1.0,1.0,1.0
bge-large-en-v1.5,orientation,27,0.44267699122428894,0.8518518518518519,0.9629629629629629,1.0,1.3333333333333333
bge-large-en-v1.5,availability,24,0.4446999728679657,1.0,1.0,1.0,1.0
bge-large-en-v1.5,size,23,0.4566535949707031,0.9565217391304348,1.0,1.0,1.0434782608695652
e5-large-v2,location,454,0.2891717851161957,0.513215859030837,0.8766519823788547,0.9559471365638766,3.0704845814977975
e5-large-v2,state,296,0.3219617009162903,0.8175675675675675,0.9831081081081081,0.9898648648648649,1.462837837837838
e5-large-v2,temperature,124,0.357401043176651,0.5806451612903226,0.9112903225806451,0.9596774193548387,2.903225806451613
e5-large-v2,cleanness,88,0.3719174563884735,0.6477272727272727,0.9659090909090909,1.0,1.7954545454545454
e5-large-v2,volume,83,0.3589950501918793,0.6385542168674698,0.9879518072289156,0.9879518072289156,1.6987951807228916
e5-large-v2,weight,68,0.3738614022731781,0.7647058823529411,0.9852941176470589,1.0,1.4558823529411764
e5-large-v2,moisture,65,0.37930750846862793,0.7692307692307693,0.9692307692307692,0.9846153846153847,1.4923076923076923
e5-large-v2,composition,62,0.3341759145259857,0.6774193548387096,0.9354838709677419,1.0,1.8387096774193548
e5-large-v2,position,56,0.30466917157173157,0.6071428571428571,0.9107142857142857,0.9821428571428571,2.267857142857143
e5-large-v2,wetness,47,0.3803122043609619,0.8936170212765957,1.0,1.0,1.148936170212766
e5-large-v2,fullness,40,0.3694584369659424,0.9,1.0,1.0,1.15
e5-large-v2,shape,38,0.3239690363407135,0.8157894736842105,1.0,1.0,1.2105263157894737
e5-large-v2,texture,38,0.3121265769004822,0.6578947368421053,0.8947368421052632,0.9210526315789473,2.6842105263157894
e5-large-v2,container,28,0.313683420419693,0.7142857142857143,0.9285714285714286,1.0,1.75
e5-large-v2,knowledge,27,0.34992313385009766,1.0,1.0,1.0,1.0
e5-large-v2,orientation,27,0.3186764121055603,0.7777777777777778,1.0,1.0,1.2962962962962963
e5-large-v2,availability,24,0.32346639037132263,1.0,1.0,1.0,1.0
e5-large-v2,size,23,0.336665540933609,0.9130434782608695,1.0,1.0,1.0869565217391304
