model,domain,n,cosine_mean,top1,top5,top10,mean_target_rank
Qwen3-Embedding-0.6B,alchemy,4495,0.33631590008735657,0.16729699666295883,0.5406006674082313,0.703893214682981,15.217797552836485
Qwen3-Embedding-0.6B,scene,5175,0.34673428535461426,0.11516908212560387,0.39111111111111113,0.562512077294686,32.70086956521739
Qwen3-Embedding-0.6B,tangrams,4000,0.2722465693950653,0.00675,0.03125,0.06325,251.92175
bge-large-en-v1.5,alchemy,4495,0.31195327639579773,0.023136818687430477,0.09454949944382647,0.1728587319243604,99.0496106785317
bge-large-en-v1.5,scene,5175,0.2895391583442688,0.012560386473429951,0.04792270531400966,0.08792270531400966,258.559806763285
bge-large-en-v1.5,tangrams,4000,0.31592077016830444,0.0005,0.00475,0.00925,722.1305
e5-large-v2,alchemy,4495,0.21869489550590515,0.0271412680756396,0.11078976640711902,0.18865406006674082,80.2273637374861
e5-large-v2,scene,5175,0.22358623147010803,0.0442512077294686,0.15845410628019324,0.26067632850241546,84.48966183574879
e5-large-v2,tangrams,4000,0.21259669959545135,0.00175,0.0085,0.0195,608.97475
