model,template_top1,deepseek_top1,delta_top1,template_top5,deepseek_top5,delta_top5,template_top10,deepseek_top10,delta_top10,template_cosine,deepseek_cosine,delta_cosine
Qwen3-Embedding-0.6B,0.3341645885286783,0.40399002493765584,0.06982543640897754,0.7855361596009975,0.8379052369077307,0.052369077306733125,0.9002493765586035,0.942643391521197,0.04239401496259354,0.4197353422641754,0.4261716604232788,0.0064363181591033936
bge-large-en-v1.5,0.3940149625935162,0.40399002493765584,0.00997506234413964,0.8329177057356608,0.7905236907730673,-0.04239401496259354,0.9226932668329177,0.9052369077306733,-0.017456359102244412,0.37697315216064453,0.3920612335205078,0.015088081359863281
e5-large-v2,0.3491271820448878,0.3316708229426434,-0.017456359102244412,0.7780548628428927,0.7506234413965087,-0.027431421446383997,0.9052369077306733,0.8778054862842892,-0.027431421446384108,0.2618076801300049,0.2565123438835144,-0.0052953362464904785
