dataset,model,steps,horizon,n,n_seeds,top1_mean,top1_std,top5_mean,top5_std,top10_mean,top10_std,mean_rank_mean,mean_rank_std,median_rank_mean,median_rank_std
scone_full,bge-large-en-v1.5,5,3,3382,3,0.0026611472501478412,0.0011827321111768185,0.012615809185886062,0.0042780473909344975,0.02789276562191997,0.009333160339964593,945.0136014192785,241.3728544489497,415.6666666666667,146.8250092229976
scone_full,bge-large-en-v1.5,5,4,3382,3,0.000788488074117879,0.0006155133055783953,0.0027597082594125765,0.001119437876168002,0.006505026611472502,0.002820636314065481,3446.8710821998816,222.42247340991716,1945.8333333333333,342.20656529840767
scone_full,bge-large-en-v1.5,5,5,3382,3,0.0027597082594125765,0.0009504879520000941,0.003745318352059925,0.0019009759040001884,0.006702148630001971,0.0029617542285268516,2542.1179775280903,420.7086009518543,1681.3333333333333,273.29029132651846
scone_full,e5-large-v2,5,1,3382,3,0.03755174452986399,0.048672875289257206,0.09343583678296864,0.11715803354423596,0.13995663315592352,0.1686280938314516,637.3530455351862,679.7174967537686,436.6666666666667,613.6793408070157
scone_full,e5-large-v2,5,2,3382,3,0.0037453183520599256,0.004308593139048767,0.013305736250739207,0.01375482359504791,0.02128917800118273,0.021487430276787893,2719.913266311847,194.4956093023759,1203.6666666666667,834.9193573832945
scone_full,e5-large-v2,5,3,3382,3,0.0011827321111768185,0.0005913660555884093,0.0033510743150009857,0.0014882386034438695,0.006702148630001971,0.003720596508609674,2094.318647742953,895.9583759334363,1264.5,763.764852556073
scone_full,e5-large-v2,5,4,3382,3,0.0012812931204415534,0.0004516632855268914,0.0020697811945594325,0.0002956830277942047,0.0036467573427951907,0.0008535633784589383,3655.0238517642424,1010.1672557606898,2686.8333333333335,388.412581327296
scone_full,e5-large-v2,5,5,3382,3,0.0018726591760299626,0.0009504879520000942,0.003153952296471516,0.0017822926591785063,0.007687758722649321,0.004693822550676388,3220.291642026414,911.3810213817425,2416.0,169.721094740754
trip_known,Qwen3-Embedding-0.6B,3,1,10,3,0.7666666666666666,0.05773502691896263,0.7666666666666666,0.05773502691896263,0.8000000000000002,0.0,3.4333333333333336,0.4041451884327379,1.0,0.0
trip_known,Qwen3-Embedding-0.6B,3,2,10,3,0.5333333333333333,0.11547005383792512,0.6333333333333333,0.05773502691896256,0.7333333333333334,0.05773502691896263,9.066666666666666,5.996943666012991,1.3333333333333333,0.5773502691896257
trip_known,Qwen3-Embedding-0.6B,3,3,10,3,0.13333333333333333,0.11547005383792516,0.3,0.2,0.5333333333333333,0.15275252316519464,31.066666666666666,24.764759908655147,10.5,5.07444578254611
trip_known,bge-large-en-v1.5,3,1,10,3,0.9,0.0,1.0,0.0,1.0,0.0,1.1,0.0,1.0,0.0
trip_known,bge-large-en-v1.5,3,2,10,3,0.7000000000000001,0.10000000000000003,0.9,0.0,0.9,0.0,3.8333333333333335,2.482606157515391,1.0,0.0
trip_known,bge-large-en-v1.5,3,3,10,3,0.3,0.1,0.43333333333333335,0.11547005383792516,0.6,0.2,41.56666666666667,44.28163652501264,11.0,9.539392014169456
trip_known,e5-large-v2,3,1,10,3,0.9,0.0,1.0,0.0,1.0,0.0,1.1,0.0,1.0,0.0
trip_known,e5-large-v2,3,2,10,3,0.39999999999999997,0.17320508075688773,0.9333333333333332,0.05773502691896256,0.9666666666666667,0.05773502691896256,2.6999999999999997,0.264575131106459,1.6666666666666667,0.28867513459481287
trip_known,e5-large-v2,3,3,10,3,0.3333333333333333,0.057735026918962595,0.5333333333333333,0.20816659994661327,0.6666666666666666,0.23094010767585033,14.6,7.571657678474377,7.166666666666667,6.788470618138767
